,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
Australian.xls,0.491360992,0.053546083,0.127626828,0,0.115702562,0.115237599,0.13460007
CastMetal.xls,-1,0,0.161982695,0,0,0.101659076,0.186757108
LED-display-domain-7digit.xls,0,0.2181004,0.2181004,0.241573998,0.227531389,0.297736502,0.240933892
SPECTF.xls,0.325508137,0.083840989,0.08406785,0,0.038161275,0.096461587,0.431467667
abalone.xls,0,0.243677907,0.148510428,0,0.234419973,0.193495877,0.188156264
analcatdata_apnea3.xls,0.452168368,0,0,0.008594123,0.053794078,0.100301527,0.200807517
analcatdata_authorship.xls,-1,0.119240057,0.128882648,0,0.147190396,0.175959816,0.329635035
analcatdata_chlamydia.xls,-1,0.014024206,0.048366654,0.044030733,0,0.048366654,0.126791727
analcatdata_dmft.xls,0.14988495,0,0.009450928,0.035310829,0.017315635,0.098237682,0.25501047
analcatdata_halloffame.xls,-1,0.173202158,0.168601365,0,0.192465711,0.223085933,0.444159886
analcatdata_seropositive.xls,0.998826254,0.003838474,0.006822918,0,0.003838474,0.050231323,0.213592542
analcatdata_vineyard.xls,0.40543536,0,1.32E-05,0.008726913,0.025695778,0.071945144,0.263358094
anneal.xls,0.771140025,0,0,0,0,0.320170709,0
arsenic-female-bladder.xls,-1,0,0.013089566,0.001670268,0.000474335,0.001376419,0.013645323
arsenic-female-lung.xls,-1,6.57E-06,0.013096125,0,0.0004809,0.001382985,0.013651887
arsenic-male-bladder.xls,-1,0,0.016933522,0.002363026,0.000703568,0.000703568,0.016319136
arsenic-male-lung.xls,1.932413575,0,0.01693352,0,0.000703568,0.000703568,0.016319135
audiology.xls,0.129533253,0.020784017,0,0.003292119,0.004867877,0.068736815,0.027743977
autoPrice.xls,0.966428832,0.029479027,0.123344128,0.019480179,0,0.151541902,0.085011619
autoUniv-au6-1000.xls,-1,0,0.005161963,0.048345302,0.069453261,0.095477164,0.08424
autoUniv-au6-750.xls,-1,0,0.004266646,0.018221192,0.052308779,0.067899511,0.078003039
autoUniv-au7-1100.xls,-1,0.000555588,0,0.033622429,0.009770151,0.078727789,0.15538736
autoUniv-au7-700.xls,-1,0.001169108,0,0.071782719,0.024517003,0.086168214,0.15604987
balance-scale.xls,0.071175704,0,0.026665082,0.027924539,0.063766753,0.067999382,0.065751162
banknote-authentication.xls,0,0.071579031,0.051861438,0.035788235,0.116112485,0.131019002,0.111780437
biomed.xls,-1,0,0,0,0,0.370976607,0.130840376
blood-transfusion-service-center.xls,0.809846004,0,0.152656099,0.003027633,0.000366552,0.217148075,0.016752605
bodyfat.xls,-1,0.341575522,0,0,0.370914464,0.443704947,0
breast-w.xls,0.049593842,0,0.032780578,0.026779201,0.020070822,0.10415528,0.374660248
car.xls,0,0,0.011049746,0.019496644,0,0.030779098,0.034313306
